Username;Subscribe Date;Current Tier;Tenure;Streak;Sub Type;Founder
casadodev;2020-07-19T06:07:39Z;Tier 3;4;4;recurring;false
lfelipibarone;2020-09-03T05:47:14Z;Tier 1;2;2;recurring;false
gusvibes;2020-09-10T23:32:48Z;Tier 1;3;3;recurring;true
wgcostta;2020-09-26T18:54:32Z;Tier 1;1;1;prime;false
robojaeger;2020-09-26T19:56:18Z;Tier 1;1;1;recurring;false
chicocodes;2020-09-26T23:56:24Z;Tier 1;2;1;recurring;false
arthurc248;2020-10-02T01:12:30Z;Tier 1;1;1;prime;false
hotinael;2020-10-03T20:42:22Z;Tier 1;2;1;prime;false
otaldonunes;2020-10-05T23:56:03Z;Tier 1;1;1;prime;false
guri_buh;2020-10-09T01:30:16Z;Tier 1;1;1;prime;false
joraraujo;2020-10-09T23:17:05Z;Tier 1;2;2;prime;false
luimagno;2020-10-10T00:45:45Z;Tier 1;1;1;prime;false
mechanicallydev;2020-10-14T01:45:29Z;Tier 1;2;1;prime;false
morgiovanelli;2020-10-17T02:55:22Z;Tier 1;1;1;recurring;false
trindadeweb;2020-10-17T06:07:41Z;Tier 1;1;1;prime;false
lenaluthorofficial;2020-10-18T07:12:17Z;Tier 1;1;1;prime;false
lucas_adorno;2020-10-19T02:07:04Z;Tier 1;1;1;prime;false
jeanmartins7;2020-10-20T03:20:49Z;Tier 1;1;1;prime;false
a_casa_caiu;2020-10-20T05:08:03Z;Tier 1;1;1;prime;false
